floor,room_id,room_type,room_name,width,depth,x_position,z_position,notes
4 West,404A,patient,Patient Room 404A,4,6,-25,20,Standard Patient Room
4 West,405A,patient,Patient Room 405A,4,6,-20,20,Standard Patient Room
4 West,406A,patient,Patient Room 406A,4,6,-15,20,Standard Patient Room
4 West,407A,patient,Patient Room 407A,4,6,-10,20,Standard Patient Room
4 West,408A,patient,Patient Room 408A,4,6,-5,20,Standard Patient Room
4 West,409A,patient,Patient Room 409A,4,6,0,20,Standard Patient Room
4 West,410A,patient,Patient Room 410A,4,6,5,20,Standard Patient Room
4 West,411A,patient,Patient Room 411A,4,6,10,20,Standard Patient Room
4 West,412A,patient,Patient Room 412A,4,6,15,20,Standard Patient Room
4 West,413A,patient,Patient Room 413A,4,6,-40,-20,Standard Patient Room
4 West,414A,patient,Patient Room 414A,4,6,-35,-20,Standard Patient Room
4 West,415A,patient,Patient Room 415A,4,6,-30,-20,Standard Patient Room
4 West,416A,patient,Patient Room 416A,4,6,-25,-20,Standard Patient Room
4 West,417A,patient,Patient Room 417A,4,6,-20,-20,Standard Patient Room
4 West,418A,patient,Patient Room 418A,4,6,-15,-20,Standard Patient Room
4 West,419A,patient,Patient Room 419A,4,6,-10,-20,Standard Patient Room
4 West,420A,patient,Patient Room 420A,4,6,-5,-20,Standard Patient Room
4 West,421A,patient,Patient Room 421A,4,6,0,-20,Standard Patient Room
4 West,422A,patient,Patient Room 422A,4,6,5,-20,Standard Patient Room
4 West,423A,patient,Patient Room 423A,4,6,10,-20,Standard Patient Room
4 West,424A,patient,Patient Room 424A,4,6,15,-20,Standard Patient Room
4 West,425A,patient,Patient Room 425A,4,6,-40,20,Standard Patient Room
4 West,426A,patient,Patient Room 426A,4,6,-35,20,Standard Patient Room
4 West,H4W-1,hallway,Main Corridor North,50,3,0,12,North hallway
4 West,H4W-2,hallway,Main Corridor South,50,3,0,-12,South hallway
4 West,T4W-1,therapy,Physical Therapy,20,25,-30,0,Main therapy space
4 West,T4W-2,therapy,Occupational Therapy,20,25,30,0,OT space
4 West,N4W-1,nurse,Nurse Station Central,8,6,0,0,Central nurse station
4 West,O4W-1,office,Staff Office Suite,10,8,15,0,Staff offices
1 East,A1E-1,office,Administration Office,12,10,-30,0,Main administrative area
1 East,Q1E-1,office,Quality Office,8,8,-15,0,Quality department
1 East,T1E-1,office,Therapeutic Recreation,10,8,0,0,Therapy planning and staff area
1 East,O1E-1,office,Staff Office Suite,10,8,15,0,General staff offices
1 East,H1E-1,hallway,Main Corridor,50,3,0,12,Primary hallway
1 West,G1W-1,therapy,Main Gymnasium,25,30,-30,0,Large rehabilitation gym
1 West,G1W-2,therapy,PEAK Center,20,25,0,0,Specialized fitness center
1 West,A1W-1,office,Admissions Office,12,10,20,-10,Patient intake and processing
1 West,O1W-1,office,Staff Offices,15,10,20,10,Staff workspace
1 West,H1W-1,hallway,Main Corridor,50,3,0,12,Primary hallway
2 West,B2W-1,office,Boardroom,15,12,-30,0,Executive meeting space
2 West,T2W-1,therapy,Physical Therapy Gym,20,25,0,10,Primary PT space
2 West,T2W-2,therapy,Occupational Therapy Gym,20,25,0,-10,Primary OT space
2 West,O2W-1,office,Staff Office Suite,12,10,25,0,Staff workspace
2 West,H2W-1,hallway,Main Corridor,50,3,0,12,Primary hallway
