id,room_id,floor,metric_name,value,timestamp,metric_category,floor_id
SA002,A1E-1,1 East,processing_time,3,2024-01-01,staff,1_east
SA002,A1E-1,1 East,satisfaction_score,89,2024-01-01,staff,1_east
SQ001,Q1E-1,1 East,reviews_completed,45,2024-01-01,staff,1_east
SQ001,Q1E-1,1 East,accuracy_rate,97,2024-01-01,staff,1_east
SQ001,Q1E-1,1 East,satisfaction_score,88,2024-01-01,staff,1_east
ST003,T1E-1,1 East,schedule_compliance,94,2024-01-01,staff,1_east
ST003,T1E-1,1 East,patient_engagement,89,2024-01-01,staff,1_east
ST003,T1E-1,1 East,documentation_completion,93,2024-01-01,staff,1_east
SG001,G1W-1,1 West,patients_per_day,12,2024-01-01,staff,1_west
SG001,G1W-1,1 West,equipment_maintenance,96,2024-01-01,staff,1_west
SG001,G1W-1,1 West,patient_satisfaction,93,2024-01-01,staff,1_west
SG002,G1W-2,1 West,patients_per_day,10,2024-01-01,staff,1_west
SG002,G1W-2,1 West,equipment_maintenance,95,2024-01-01,staff,1_west
SG002,G1W-2,1 West,patient_satisfaction,92,2024-01-01,staff,1_west
SA003,A1W-1,1 West,admission_rate,87,2024-01-01,staff,1_west
SA003,A1W-1,1 West,processing_time,3,2024-01-01,staff,1_west
SA003,A1W-1,1 West,patient_satisfaction,91,2024-01-01,staff,1_west
SN003,N3W-1,3 West,patients_assigned,4,2024-01-01,staff,3_west
SN003,N3W-1,3 West,shift_hours,8,2024-01-01,staff,3_west
SN003,N3W-1,3 West,response_time_avg,3,2024-01-01,staff,3_west
SN003,N3W-1,3 West,documentation_completion,94,2024-01-01,staff,3_west
ST004,T3W-1,3 West,patients_per_day,9,2024-01-01,staff,3_west
ST004,T3W-1,3 West,treatment_hours,6,2024-01-01,staff,3_west
ST004,T3W-1,3 West,documentation_completion,93,2024-01-01,staff,3_west
ST004,T3W-1,3 West,patient_satisfaction,90,2024-01-01,staff,3_west
SN004,N4W-1,4 West,patients_assigned,5,2024-01-01,staff,4_west
SN004,N4W-1,4 West,shift_hours,8,2024-01-01,staff,4_west
SN004,N4W-1,4 West,response_time_avg,3,2024-01-01,staff,4_west
SN004,N4W-1,4 West,documentation_completion,95,2024-01-01,staff,4_west
ST005,T4W-1,4 West,patients_per_day,8,2024-01-01,staff,4_west
ST005,T4W-1,4 West,treatment_hours,6,2024-01-01,staff,4_west
ST005,T4W-1,4 West,documentation_completion,94,2024-01-01,staff,4_west
ST005,T4W-1,4 West,patient_satisfaction,91,2024-01-01,staff,4_west
